x,y,z,game,type,text,source_index,reward_enum,condition_value,quantized_bin
7.695550441741943,16.623762130737305,5.963069915771484,dungeon,state,"Within Dungeon, tiny traversable span.",16623,1,16.0,0
5.434826374053955,-1.3864070177078247,-24.849319458007812,dungeon,state,"Playing Dungeon, some passable areas are disconnected.",3156,0,2.0,2
6.677151679992676,20.209245681762695,-8.359423637390137,dungeon,state,"For a Dungeon map, bats are abundant.",10410,3,96.0,7
6.470099449157715,2.4075496196746826,-27.245210647583008,dungeon,state,"In Dungeon, a small number of separate areas appear.",2694,0,1.0,1
6.118067741394043,19.566593170166016,-7.893581867218018,dungeon,state,"Within Dungeon, bats are abundant here.",18764,3,72.0,7
10.080048561096191,13.28984546661377,8.316311836242676,dungeon,state,"For a Dungeon map, extensive winding passages span the map.",12365,1,53.0,7
-4.990546226501465,15.153942108154297,2.3885581493377686,dungeon,state,This Dungeon level has treasures are moderately scattered throughout.,12475,4,13.0,4
-3.346449136734009,14.994962692260742,-2.525463342666626,dungeon,state,"In Dungeon, some treasures appear here.",10351,4,9.0,2
-4.415031433105469,22.97979164123535,-7.045639991760254,dungeon,state,"Playing Dungeon, bats are rare here.",9735,3,0.0,0
3.851473808288574,19.0084285736084,-12.17039680480957,dungeon,state,"Playing Dungeon, bats are scattered moderately.",17215,3,9.0,3
8.718846321105957,11.489738464355469,6.0714592933654785,dungeon,state,"Within Dungeon, moderately long paths wind through the map.",13152,1,34.0,4
3.140634775161743,19.98248291015625,-6.438304424285889,dungeon,state,This Dungeon level has bats are moderately common.,13246,3,14.0,4
5.094931602478027,19.029659271240234,-8.047195434570312,dungeon,state,This Dungeon level has bats are plentiful.,13176,3,28.0,7
2.3075129985809326,18.5958194732666,-6.416428089141846,dungeon,state,This Dungeon level has bats are moderately scattered throughout.,19686,3,10.0,3
8.59354305267334,16.15766716003418,5.606964588165283,dungeon,state,"In Dungeon, the map has a moderate path length.",12179,1,34.0,4
4.9325852394104,1.8841854333877563,-30.667034149169922,dungeon,state,"Playing Dungeon, few disconnected zones appear here.",3245,0,1.0,1
-0.6420174241065979,9.801115036010742,-0.5375406742095947,dungeon,state,"For a Dungeon map, many treasures fill the map.",8544,4,17.0,6
-2.736436605453491,16.20795249938965,-1.877469778060913,dungeon,state,"In Dungeon, some treasures are scattered here.",11600,4,9.0,2
-7.863767623901367,23.652494430541992,-7.85437536239624,dungeon,state,"Within Dungeon, few bats appear.",9102,3,0.0,0
-2.9522159099578857,15.9972562789917,-1.6534727811813354,dungeon,state,"Within Dungeon, treasures appear in small clusters.",11474,4,11.0,3
-4.701141357421875,14.1173677444458,-0.46124905347824097,dungeon,state,This Dungeon level has many treasures are scattered throughout.,12874,4,15.0,5
9.761987686157227,19.952878952026367,-8.791731834411621,dungeon,state,"Within Dungeon, bats are abundant throughout.",8738,3,75.0,7
