x,y,game,type,text,source_index,reward_enum,condition_value,quantized_bin
45.59632110595703,44.08212661743164,dungeon,state,"Within Dungeon, tiny traversable span.",16623,1,16.0,0
-17.407352447509766,37.354454040527344,dungeon,state,"Playing Dungeon, some passable areas are disconnected.",3156,0,2.0,2
20.804773330688477,40.900821685791016,dungeon,state,"For a Dungeon map, bats are abundant.",10410,3,96.0,7
-18.549728393554688,42.62456512451172,dungeon,state,"In Dungeon, a small number of separate areas appear.",2694,0,1.0,1
21.066282272338867,41.99419021606445,dungeon,state,"Within Dungeon, bats are abundant here.",18764,3,72.0,7
44.53660202026367,38.205379486083984,dungeon,state,"For a Dungeon map, extensive winding passages span the map.",12365,1,53.0,7
-15.636932373046875,64.76345825195312,dungeon,state,This Dungeon level has treasures are moderately scattered throughout.,12475,4,13.0,4
-9.373189926147461,68.71734619140625,dungeon,state,"In Dungeon, some treasures appear here.",10351,4,9.0,2
19.50860023498535,57.70981979370117,dungeon,state,"Playing Dungeon, bats are rare here.",9735,3,0.0,0
13.983667373657227,43.87934875488281,dungeon,state,"Playing Dungeon, bats are scattered moderately.",17215,3,9.0,3
41.675636291503906,39.404903411865234,dungeon,state,"Within Dungeon, moderately long paths wind through the map.",13152,1,34.0,4
21.911100387573242,46.07781219482422,dungeon,state,This Dungeon level has bats are moderately common.,13246,3,14.0,4
20.50911521911621,43.357147216796875,dungeon,state,This Dungeon level has bats are plentiful.,13176,3,28.0,7
22.18647575378418,48.50157165527344,dungeon,state,This Dungeon level has bats are moderately scattered throughout.,19686,3,10.0,3
46.392704010009766,43.52437210083008,dungeon,state,"In Dungeon, the map has a moderate path length.",12179,1,34.0,4
-23.263948440551758,43.81593704223633,dungeon,state,"Playing Dungeon, few disconnected zones appear here.",3245,0,1.0,1
-5.54360294342041,60.869937896728516,dungeon,state,"For a Dungeon map, many treasures fill the map.",8544,4,17.0,6
-10.888862609863281,68.64306640625,dungeon,state,"In Dungeon, some treasures are scattered here.",11600,4,9.0,2
18.460317611694336,63.885616302490234,dungeon,state,"Within Dungeon, few bats appear.",9102,3,0.0,0
-10.663012504577637,68.36426544189453,dungeon,state,"Within Dungeon, treasures appear in small clusters.",11474,4,11.0,3
-12.794445037841797,68.44035339355469,dungeon,state,This Dungeon level has many treasures are scattered throughout.,12874,4,15.0,5
20.681081771850586,36.82827377319336,dungeon,state,"Within Dungeon, bats are abundant throughout.",8738,3,75.0,7
51.84977722167969,39.841487884521484,dungeon,state,"For a Dungeon map, the map has a moderately restricted path.",13356,1,32.0,3
-12.967541694641113,58.160194396972656,dungeon,state,"In Dungeon, a decent amount of treasures fills the map.",8679,4,14.0,5
-16.4167423248291,68.25631713867188,dungeon,state,"In Dungeon, treasures are rare.",9808,4,5.0,0
-16.780731201171875,40.87196731567383,dungeon,state,"For a Dungeon map, several separate walkable regions spread across the map.",823,0,5.0,4
